building,unit,location,area,price,type,address,RESIDENT MANAGERS,RESIDENT MANAGER,tel,fax,Website,email,lease,included,not included,parking,storage,Fridge,Ceiling Height,underground,Flooring,HRV Ventilation,Bathroom,floors,Appliances,Balcony Size,policy,Kitchen,deposit,heated underground,other_features
1351 Barrington St,1351-04,Halifax Downtown,219 ft2,"Jul1,2024",Bachelor,"1351 Barrington St, Apt 4Halifax, NSB3J 1Y9",Sonya & Mike Ewing,,902.404.8439,902.404.8438,http://www.444rent.com,info@wsuites.ca,"1 Year Fixed Term,","Heat,Hot Water,Water,","Power,","$140/ month,",,,,,,,,3,"Refrigerator, Stove",,"Cats Allowed,Smoke Free Building,Tenant Insurance Required,","PaintedCabinets,LaminateCountertops","$697.50,",,"Crown Moldings, Bay Windows, "
1343 Barrington St.,1343-103,Halifax Downtown,520 ft2,"Apr1,2024",1 Bedroom,"1343 Barrington St, Apt 103Halifax, NSB3J 1Y9",Sonya & Mike Ewing,,902.404.8439,902.404.8438,http://www.444rent.com,info@wsuites.ca,"1 Year Fixed Term,","Heat,Hot Water,Water,","Power,","$140/ month,",,,,,,,,,"Refrigerator, Stove",,"Cats Allowed,Smoke Free Building,Tenant Insurance Required,","PaintedCabinets,LaminateCountertops","$797.50,",,
1078 Tower Rd.,208,Halifax South End,478 ft2,"Apr1,2024",1 Bedroom,"1078 Tower Rd, Apt 208Halifax, NSB3H 2Y5",Brad & Nancy Wright,,902.405.1078,902.405.1015,http://www.towerapartments.ca,info@towerapartments.ca,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$40/ month,",, 9 Foot,"Underground: $160/ month; Exterior: $140/ month,","Laminate-Living Room, Bedrooms,Porcelain-Kitchen, Bathroom, Hallway", Central (24 Hr Operation),"GraniteCountertops,Soaker Tub,Full Wall Mirror",4,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,GraniteCountertops,Breakfast Bar","$997.50,",,"French Balcony, "
5251 South St.,108,Halifax South End,667 ft2,"May1,2024",1 Bedroom,"5251 South St, Apt 108Halifax, NSB3J 4B2",Brad & Nancy Wright,,902.405.1078,902.405.4015,http://www.hillsidesuites.com,info@towerapartments.ca,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$40/ month,",, 9 Foot,"Underground: $160/ month; Exterior: $140/ month,","Laminate-Living Room, Bedrooms,Ceramic-Kitchen, Bathroom, Hallway", Central (24 Hr Operation),"LaminateCountertops,Soaker Tub,Full Wall Mirror",6,"Refrigerator, Stove, Dishwasher, Washer, Dryer", 48 ft2,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,LaminateCountertops,Breakfast Bar","$1,012.50,",,"Security Alarm, "
1363 Hollis St,202,Halifax South End,615 ft2,"May1,2024",1 Bedroom,"1363 Hollis St, Apt 2021 Bedroom 1 Bath",,Cathy Hayes,902.431.8200,902.431.8202,http://www.flynnflats.com,info@flynnflats.com,"1 Year Fixed Term Lease,",,"Heat,Hot Water,Water,Power,",,"$40-$55/ month,",,,,"Porcelain-Bathroom,Vinyl-Living Room, Dining Room, Kitchen, Bedrooms, Hallway, Entry",,"QuartzCountertops,Stand-Up Shower",8,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,",White MalemineCabinets,"$1,047.50,","Heated Underground: $160/ month,","Barrier Free Apartment, Air Conditioned, "
1078 Tower Rd.,306,Halifax South End,478 ft2,"May1,2024",1 Bedroom,"1078 Tower Rd, Apt 306Halifax, NSB3H 2Y5",Brad & Nancy Wright,,902.405.1078,902.405.1015,http://www.towerapartments.ca,info@towerapartments.ca,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$40/ month,",, 9 Foot,"Underground: $160/ month; Exterior: $140/ month,","Laminate-Living Room, Bedrooms,Porcelain-Kitchen, Bathroom, Hallway", Central (24 Hr Operation),"GraniteCountertops,Soaker Tub,Full Wall Mirror",4,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,GraniteCountertops,Breakfast Bar","$997.50,",,"French Balcony, "
1530 Birmingham St.,605,Halifax Downtown,689 ft2,"Jun1,2024",1 Bedroom,"1530 Birmingham St, Apt 6051 Bedroom + DEN 1 Bath",,Phyllis Barnaby,902.406.1530,902.406.1531,http://www.vertusuites.com,info@vertusuites.com,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$45/ month,",, 9 Foot,,"Laminate-Living Room, Kitchen, Bedrooms,Porcelain-Bathroom",,"GraniteCountertops,Soaker Tub,Full Wall Mirror",7,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,GraniteCountertops,Breakfast Bar","$1,072.50,","Heated Underground- Reserved: $200/ month; Unassigned: $180/ month,","19"" Toshiba LCD in Kitchen, Common Deck, Air Conditioned, Downtown Views, "
1530 Birmingham St.,413,Halifax Downtown,788 ft2,"Jul1,2024",1 Bedroom,"1530 Birmingham St, Apt 4131 Bedroom + DEN 1 Bath",,Phyllis Barnaby,902.406.1530,902.406.1531,http://www.vertusuites.com,info@vertusuites.com,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$45/ month,",, 9 Foot,,"Laminate-Living Room, Kitchen, Bedrooms,Porcelain-Bathroom",,"GraniteCountertops,Soaker Tub,Full Wall Mirror",7,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,GraniteCountertops,Breakfast Bar","$1,097.50,","Heated Underground- Reserved: $200/ month; Unassigned: $180/ month,","19"" Toshiba LCD in Kitchen, Common Deck, Air Conditioned, Downtown Views, "
1530 Birmingham St.,318,Halifax Downtown,530 ft2,"Jul1,2024",1 Bedroom,"1530 Birmingham St, Apt 3181 Bedroom 1 Bath",,Phyllis Barnaby,902.406.1530,902.406.1531,http://www.vertusuites.com,info@vertusuites.com,"1 Year Fixed Term Lease,","Heat,Hot Water,Water,","Power,",,"$45/ month,",, 9 Foot,,"Laminate-Living Room, Kitchen, Bedrooms,Porcelain-Bathroom",,"GraniteCountertops,Soaker Tub,Full Wall Mirror",7,"Refrigerator, Stove, Dishwasher, Microwave-Range Hood, Washer, Dryer",,"No Pets,Smoke Free Building,Tenant Insurance Required,","MapleCabinets,GraniteCountertops,Breakfast Bar","$1,097.50,","Heated Underground- Reserved: $200/ month; Unassigned: $180/ month,","19"" Toshiba LCD in Kitchen, Common Deck, Air Conditioned, "
5958 Spring Garden Rd.,5958-B,Halifax South End,470 ft2,"Jul1,2024",1 Bedroom,"5958 Spring Garden Rd, Apt BHalifax, NSB3H 1Y7",,,902.404.8058,,http://,charkins@paramountmanagement.ca,"6 Month Fixed Term Lease,","Heat,Hot Water,Water,","Power,","$150/ month,",,, 9 Foot,,"Ceramic-Kitchen, Bathroom,Hardwood-Living Room, Bedrooms",,Soaker Tub,4,"Refrigerator, Stove",,"Cats Allowed,Tenant Insurance Required,","PaintedCabinets,LaminateCountertops","$797.50,",,"Street Entrance, Basement Level, "
