Property Name,Civic Address,Floors,Units,Developer,Proposed/ Under Development/ Completed,Website,Condo or Rental,Estimated Time of Completion,Retail Square Footage,District,Image
1351 Barrington St,"1351 Barrington St, Apt 4 Halifax, NSB3J 1Y9",3,1351-04,,,,,,219 ft2,Downtown,
6016 Pepperell St.,"6016 Pepperell St, Apt 222 1 Bedroom + DEN 1 Bath",15,222,,,,,,676 ft2,South End,
1343 Barrington St.,"1343 Barrington St, Apt 103 Halifax, NSB3J 1Y9",,1343-103,,,,,,520 ft2,Downtown,
7037 Mumford Rd,"7037 Mumford Rd, Unit 505 1 Bedroom + DEN 1 Bath",,505,,,,,,990 ft2,West End,
5251 South St.,"5251 South St, Apt 108 Halifax, NSB3J 4B2",6,108,,,,,,667 ft2,South End,
1363 Hollis St,"1363 Hollis St, Apt 202 1 Bedroom 1 Bath",8,202,,,,,,615 ft2,South End,
1530 Birmingham St.,"1530 Birmingham St, Apt 605 1 Bedroom + DEN 1 Bath",7,605,,,,,,689 ft2,Downtown,
5984 Spring Garden Rd.,"5984 Spring Garden Rd, Apt 2 Halifax, NSB3H 1Y7",3,5984-2,,,,,,396 ft2,South End,
1530 Birmingham St.,"1530 Birmingham St, Apt 413 1 Bedroom + DEN 1 Bath",7,413,,,,,,788 ft2,Downtown,
6016 Pepperell St.,"6016 Pepperell St, Apt 608 1 Bedroom 1 Bath",15,608,,,,,,495 ft2,South End,
5958 Spring Garden Rd.,"5958 Spring Garden Rd, Apt B Halifax, NSB3H 1Y7",4,5958-B,,,,,,470 ft2,South End,
1343 Hollis St.,"1343 Hollis St, 1345 2 Bedroom 1 1/2 Baths",8,1345,,,,,,"1,012 ft2",Downtown,
5450 Kaye Street,"5450 Kaye Street, Apt 903 2 Bedroom 2 Baths + DEN",9,903,,,,,,"1,437 ft2",North End,
7037 Mumford Rd.,"7037 Mumford Rd, Unit 2102 2 Bedroom + DEN 2 1/2 Baths",22,2102,,,,,,"1,668 ft2",West End,
6016 Pepperell St.,"6016 Pepperell St, Apt 216 2 Bedroom + DEN 2 1/2 Baths",15,216,,,,,,"1,313 ft2",South End,
7037 Mumford Rd,"7037 Mumford Rd, Unit 501 2 Bedroom 1 Bath",22,501,,,,,,936 ft2,West End,
7037 Mumford Rd,"7037 Mumford Rd, Unit 601 2 Bedroom 1 Bath",22,601,,,,,,936 ft2,West End,
7037 Mumford Rd,"7037 Mumford Rd, Unit 2003 2 Bedroom 2 Baths",22,2003,,,,,,"1,238 ft2",West End,
7037 Mumford Rd.,"7037 Mumford Rd, Unit 504 2 Bedroom 2 Baths",,504,,,,,,"1,033 ft2",West End,
5157 Morris St.,"5157 Morris St, Apt TH 07 3 Bedroom 2 1/2 Baths",5,TH 07,,,,,,"1,518 ft2",Downtown,
12 Palmer Hill.,12 Palmer Hill 4 Bedroom 3 Baths,1,-,,,,,,"4,400 ft2",Central,
