address,type,parking,available,price,TENANT SERVICES COORDINATOR,RESIDENT MANAGERS,COMMERCIAL PROPERTY MANAGER,email,Website,tel,fax,term,termination policy,rate,deposit
1327 Barrington St,Exterior,"Exterior,","Now,",$172.50,,,,,,902.423.9916,902.423.9942,"Monthly,",,"$172.50,",
1327 Barrington St,Exterior,"Exterior,","Now,",$172.50,,,,,,902.423.9916,902.423.9942,"Monthly,",,"$172.50,",
"1333 Barrington St Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,http://www.444rent.com,902.404.8439,902.404.8438,"Monthly,",,"$172.50,",
"1333 Barrington St Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,http://www.444rent.com,902.404.8439,902.404.8438,"Monthly,",,"$172.50,",
"1343-51 Barrington Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,http://www.444rent.com,902.404.8439,902.404.8438,"Monthly,","1 month notice,","$172.50,","$25.00,"
"1343-51 Barrington Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,http://www.444rent.com,902.404.8439,902.404.8438,"Monthly,",,"$172.50,",
"1535 Dresden Row Halifax, NS",Underground,"Underground,","Now,",$218.50,,,Kevin Nettle,kevin@paramountmanagement.ca,,902.830.4200,902.423.9942,"Monthly,",,"$218.50,",
"1535 Dresden Row Halifax, NS",Underground,"Underground,","Now,",$218.50,,,Kevin Nettle,kevin@paramountmanagement.ca,,902.830.4200,902.423.9942,"Monthly,",,"$218.50,",
"1274 Barrington Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,http://www.444rent.com,902.404.8439,902.404.8438,"Monthly,",,"$172.50,",
"967 Mitchell Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,,902.404.8439,,"Monthly,",,"$172.50,",
"967 Mitchell Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,,902.404.8439,,"Monthly,",,"$172.50,",
"967 Mitchell Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,,902.404.8439,,"Monthly,",,"$172.50,",
"967 Mitchell Street Halifax, NS",Exterior,"Exterior,","Now,",$172.50,,Sonya & Mike Ewing,,info@wsuites.ca,,902.404.8439,,"Monthly,",,"$172.50,",
"6016 Pepperell St Halifax, NS",Underground,"Underground,","Now,",$201.25,Janna Ewing,,,info@thegeorgeresidence.com,http://www.thegeorgeresidence.com,902.431.6016,902.431.6022,"Monthly,",,"$201.25,",
"6016 Pepperell St Halifax, NS",Underground,"Underground,","Now,",$201.25,Janna Ewing,,,info@thegeorgeresidence.com,http://www.thegeorgeresidence.com,902.431.6016,902.431.6022,"Monthly,",,"$201.25,",
"6016 Pepperell St Halifax, NS",Underground,"Underground,","Now,",$201.25,Janna Ewing,,,info@thegeorgeresidence.com,http://www.thegeorgeresidence.com,902.431.6016,902.431.6022,"Monthly,",,"$201.25,",
"6016 Pepperell St Halifax, NS",Underground,"Underground,","Now,",$201.25,Janna Ewing,,,info@thegeorgeresidence.com,http://www.thegeorgeresidence.com,902.431.6016,902.431.6022,"Monthly,",,"$201.25,",
"2712 Windsor St Halifax, NS",Gated,"Gated,","December 1, 2023,",$115.00,,Frankee & Greg Ayre,,wp@paramountmanagement.ca,http://www.444rent.com,902.407.7368,902.444.9959,"Monthly,",,"$115.00,",
"2712 Windsor St Halifax, NS",Gated,"Gated,","Now,",$115.00,,Frankee & Greg Ayre,,wp@paramountmanagement.ca,http://www.444rent.com,902.407.7368,902.444.9959,"Monthly,",,"$115.00,",
"2712 Windsor St Halifax, NS",Covered,"Covered,","Now,",$149.50,,Frankee & Greg Ayre,,wp@paramountmanagement.ca,http://www.444rent.com,902.407.7368,902.444.9959,"Monthly,",,"$149.50,",
