image,address,bathrom,area,pet,district,price,bedroom,availability,id,type
https://www.rentfast.ca/rfc/listing_photos/6/6/2/2/slide_9812266.v.5dc72640ab3bdbb9739d90ff7d4e2e13.jpg,39 Seapoint Rd.,2,1285,No pets,Halifax,$2585,2,Immediate,537573,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477855/slide_9082074.v.be5e9485d849211710a3a1312bea7d6c.jpg,5770 Spring Garden Road,1,1005 - 743,Pets Ok,Halifax,$2100-2655,1 - 2,Immediate,477855,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/410288/slide_9548915.v.f4f73e719b16e245f36136d90d33c7c2.jpg,1585 Oxford St.,1,413 - 583,Cats Ok,Halifax,$1600-1900,studio - 1,Immediate,410288,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477863/slide_8935412.v.87634a90d8937f6eae0fbeb5dd6d5dc5.jpg,5885 Cunard Street,1,760 - 961,Pets Ok,Halifax,$2050-2495,1 - 2,Immediate,477863,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477867/slide_9262092.v.3a9c53c483b1cf48dcc14aa15756c4f1.jpg,1333 South Park Street,1,614 - 830,Pets Ok,Halifax,$2110-2640,1 - 2,Immediate,477867,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477866/slide_8935909.v.05090edc5bb5fe41540466ad7579ff7b.jpg,2074 Robie Street,1,507 - 881,Pets Ok,Halifax,$1750-1985,studio - 1,Immediate,477866,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477857/slide_9210962.v.76d8bfce2a31b42cce3c3334a564e88c.jpg,2073-2077 Brunswick Street,1,620,Pets Ok,Halifax,$1995,1,Immediate,477857,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/396118/slide_9793160.v.2980e15f3f829ea5ef05d9ab78c97548.jpg,3330 Barnstead Lane,2,945,Pets Ok,Halifax,$2110,2,Immediate,396118,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477851/slide_9421034.v.b14ca3b14b0dd483e4941a81571354e3.jpg,40 Charlotte Lane,1,1470 - 900,Pets Ok,Halifax,$1985-2385,1 - 2,Immediate,477851,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/537575/slide_9548188.v.f7411294c713bcdb4b6b6b77f2d53feb.jpg,79 Holtwood Court,2,1284,No pets,Halifax,$2385,2,Immediate,537575,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477860/slide_8935387.v.8059be358810bfc51054b0a0ffadea74.jpg,1030 South Park Street,1,500 - 950,Pets Ok,Halifax,$1780-2735,studio - 2,Immediate,477860,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/477854/slide_8936689.v.b0214dce29ca32e41f6860aba90c7ea4.jpg,1881 Brunswick Street,1,768,Pets Ok,Halifax,$2250,1,Immediate,477854,Apartment
https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/354057/slide_9545961.v.765bf806f83fdd1643eb8799f80c33a9.jpg,80 Holtwood Court,2,1210,Pets Ok,Halifax,$2245,2,Immediate,354057,Apartment
