beds_count,baths_count,image_2,other_features,bulding,price,image_0,image_3,image_1,address
1–2 ,1,https://img.zumpercdn.com/711900034/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Assigned Parking,200 Willett Street,"$2,023–$2,471",https://img.zumpercdn.com/717545178/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/711900035/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/711900033/1280x960?fit=crop&h=208&w=329,"200 Willett St, Halifax, NS B3M 3C5"
2 ,1,https://img.zumpercdn.com/657007451/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,"211, 221 Glenforest Drive","$2,549",https://img.zumpercdn.com/657007449/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/657007452/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/657007450/1280x960?fit=crop&h=208&w=329,"211, 221 Glenforest Drive, Halifax, NS B3M 1J3"
1 ,1,https://img.zumpercdn.com/681142796/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Halifax Apartments – The Plaza,"$2,250",https://img.zumpercdn.com/681142794/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/681142797/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/681142795/1280x960?fit=crop&h=208&w=329,"1881 Brunswick St, Halifax, NS B3J 3L8"
2 ,1,https://img.zumpercdn.com/722874412/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Garage Parking,Lotus Point,"$2,805",https://img.zumpercdn.com/722874410/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/722874413/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/722874411/1280x960?fit=crop&h=208&w=329,"101 Ochterloney St, Halifax, NS B2Y 0E6"
1 ,1,https://img.zumpercdn.com/539803007/1280x960?fit=crop&h=208&w=329,In Unit Laundry | On Site Laundry | Fitness Center,"222 Portland Street, Dartmouth NS","$1,800",https://img.zumpercdn.com/539803005/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/539803008/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/539803006/1280x960?fit=crop&h=208&w=329,"222 Portland St, Halifax, NS B2Y 1J6"
1 ,1,https://img.zumpercdn.com/690837009/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Greenpark Suites,"$2,150",https://img.zumpercdn.com/690837007/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/690837010/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/690837008/1280x960?fit=crop&h=208&w=329,"109 Greenpark Close, Halifax, NS B3S 1R6"
2 ,1–2,https://img.zumpercdn.com/716111340/1280x960?fit=crop&h=208&w=329,,307 Prince Albert Rd,"$2,175–$2,725",https://img.zumpercdn.com/716397345/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716111341/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716111339/1280x960?fit=crop&h=208&w=329,"307 Prince Albert Rd, Halifax, NS B2Y 1N3"
1–2 ,2,https://img.zumpercdn.com/612126082/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Garage Parking,The Junction,"$2,475–$3,125",https://img.zumpercdn.com/596431860/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612126083/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612126081/1280x960?fit=crop&h=208&w=329,"3075 Devonshire Ave, Halifax, NS B3K 0H5"
,,,,,,https://img.zumpercdn.com/723060660/1280x960?fit=crop&h=208&w=329,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2 ,2,https://img.zumpercdn.com/558343659/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Garage Parking,Royal Gardens,"$2,800",https://img.zumpercdn.com/612141739/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/558343660/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/558343658/1280x960?fit=crop&h=208&w=329,"671 Larry Uteck Blvd, Halifax, NS B3M 0J6"
1–2 ,1–2,https://img.zumpercdn.com/721190581/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,40 Bedros Lane,"$2,238–$2,866",https://img.zumpercdn.com/723060659/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/721190582/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/721190580/1280x960?fit=crop&h=208&w=329,"40 Bedros Lane, Halifax, NS B3M 4X1"
2 ,2,,In Unit Laundry | On Site Laundry | Central Heat,Palace Royale,"$2,450–$2,500",https://img.zumpercdn.com/724290478/1280x960?fit=crop&h=208&w=329,,,"333 Main Ave, Halifax, NS B3S 0B6"
Studio–2 ,1,https://img.zumpercdn.com/644539530/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Somerset Place Apartments,"$1,780–$2,735",https://img.zumpercdn.com/633692438/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/644539531/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/644539529/1280x960?fit=crop&h=208&w=329,"1030 South Park St, Halifax, NS B3H 2W3"
Studio–2 ,1,https://img.zumpercdn.com/661831417/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,19 Twenty Apartments,"$2,030–$2,725",https://img.zumpercdn.com/661831415/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/661831418/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/661831416/1280x960?fit=crop&h=208&w=329,"1920 Brunswick St, Halifax, NS B3J 0C5"
1 ,1,https://img.zumpercdn.com/673936981/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Halifax Apartments – MacKeen Towers,"$1,950",https://img.zumpercdn.com/673936979/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/673936982/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/673936980/1280x960?fit=crop&h=208&w=329,"2001 Brunswick St, Halifax, NS B3J 2G8"
1–2 ,1,https://img.zumpercdn.com/685744308/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | On Site Laundry,Stonecrest Village,"$1,895–$2,360",https://img.zumpercdn.com/685744307/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685744309/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/657786783/1280x960?fit=crop&h=208&w=329,"81 79,81 Radcliffe Drive & 80, Halifax, NS B3M 4P2"
1–2 ,1,https://img.zumpercdn.com/666903114/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,Park Victoria Apartments,"$2,110–$2,695",https://img.zumpercdn.com/666903112/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/666903115/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/668794491/1280x960?fit=crop&h=208&w=329,"1333 South Park St, Halifax, NS B3J 2K9"
1–2 ,1,https://img.zumpercdn.com/612136634/1280x960?fit=crop&h=208&w=329,,Prince Matthew Palace,"$2,100–$2,550",https://img.zumpercdn.com/701830038/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/720719136/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136633/1280x960?fit=crop&h=208&w=329,"1338 Hollis St, Halifax, NS B3J 3X3"
Studio–1 ,1,https://img.zumpercdn.com/612136599/1280x960?fit=crop&h=208&w=329,On Site Laundry | Central Heat | Elevator,The Kingsford,"$1,600–$1,900",https://img.zumpercdn.com/701829998/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136600/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136598/1280x960?fit=crop&h=208&w=329,"1585 Oxford St, Halifax, NS B3H 3Z3"
,,,,,,,,,
,,,,,,,,,
1 ,1,https://img.zumpercdn.com/612136639/1280x960?fit=crop&h=208&w=329,,King Andrew,"$1,950",https://img.zumpercdn.com/721709385/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136640/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/612136638/1280x960?fit=crop&h=208&w=329,"290 Main Ave, Halifax, NS B3M 3V3"
